line number,contest name,choice name,party name,total votes,percent of votes,registered voters,ballots cast,num Precinct total,num Precinct rptg,over votes,under votes
32,Senator in the General Assembly 45th District (Vote For 1),REP Nicole Ziccarelli,REP,50053,47.3,146937,0,234,234,0,0
33,Senator in the General Assembly 45th District (Vote For 1),Write-in,NON,130,0.12,146937,0,234,234,0,0
34,Representative in the General Assembly 16th District (Vote For 1),DEM Robert F. Matzie,DEM,975,59.85,2100,0,3,3,0,0
35,Representative in the General Assembly 16th District (Vote For 1),REP Rico Elmore,REP,651,39.96,2100,0,3,3,0,0
36,Representative in the General Assembly 16th District (Vote For 1),Write-in,NON,3,0.18,2100,0,3,3,0,0
37,Representative in the General Assembly 19th District (Vote For 1),DEM Jake Wheatley,DEM,21891,97.34,43353,0,86,86,0,0
38,Representative in the General Assembly 19th District (Vote For 1),Write-in,NON,598,2.66,43353,0,86,86,0,0
39,Representative in the General Assembly 20th District (Vote For 1),DEM Emily Kinkead,DEM,26873,94.54,48002,0,70,70,0,0
40,Representative in the General Assembly 20th District (Vote For 1),Write-in,NON,1551,5.46,48002,0,70,70,0,0
41,Representative in the General Assembly 21st District (Vote For 1),DEM Sara Innamorato,DEM,23448,66.22,47469,0,69,69,0,0
42,Representative in the General Assembly 21st District (Vote For 1),REP John Waugh,REP,11886,33.57,47469,0,69,69,0,0
43,Representative in the General Assembly 21st District (Vote For 1),Write-in,NON,76,0.21,47469,0,69,69,0,0
44,Representative in the General Assembly 23rd District (Vote For 1),DEM Dan Frankel,DEM,24083,84.55,51748,0,62,62,0,0
45,Representative in the General Assembly 23rd District (Vote For 1),GRN Jay Ting Walker,GRN,4094,14.37,51748,0,62,62,0,0
46,Representative in the General Assembly 23rd District (Vote For 1),Write-in,NON,308,1.08,51748,0,62,62,0,0
47,Representative in the General Assembly 24th District (Vote For 1),DEM Ed Gainey,DEM,28831,98.82,50301,0,90,90,0,0
